Comment,MPN,Manufacturer,Part Number,Supplier ,Quantity
CD4026BNSR,CD4026BNSR,Texas Instruments,296-28693-6-ND,Digikey,6
CD4060BM96,CD4060BM96,Texas Instruments,296-31513-1-ND,Digikey,1
CD4017BM96,CD4017BM96,Texas Instruments,296-25940-1-ND,Digikey,1
8 POS DIP SOCKET,08-3518-10,Aries Electronics,A400-ND,Digikey,1
SN74LS74ADR,SN74LS74ADR,Texas Instruments,296-14899-1-ND,Digikey,1
NE555PSR,NE555PSR,Texas Instruments,296-6502-1-ND,Digikey,1
LM7805MPX/NOPB,LM7805MPX/NOPB,Texas Instruments,296-44518-1-ND,Digikey,1
120R,ERJ-PA3J121V,Panasonic,P120BZCT-ND,Digikey,6
1KR,ERJ-PB6D1001V,Panasonic,P21019CT-ND,Digikey,11
220R,ERJ-PA3F2200V,Panasonic,P220BYCT-ND,Digikey,1
10KR,ERA-8AEB103V,Panasonic,P10KBCCT-ND,Digikey,1
"10uF,16V",EEE-1CA100SR,Panasonic,PCE3878CT-ND,Digikey,2
"10nF,25V",C0603C103K3RACTU,KEMET,399-7840-1-ND,Digikey,1
"1uF,25V",C0805C105K3RACTU,KEMET,399-8004-1-ND,Digikey,1
"10uF,25V",C1206C106M3PACTU,KEMET,399-8153-1-ND,Digikey,1
B3FS-1010P,B3FS-1010P,Omron Electronics,SW1440CT-ND,Digikey,3
GRN,QTLP650D4TR,Everlight Electronics Co Ltd,1080-1419-2-ND,Digikey,1
EG1218,EG1218,E-Switch,EG1903-ND,Digikey,1
PJ-102AH,PJ-102AH,CUI Devices,CP-102AH-ND,Digikey,1
SC56-21GWA,SC56-21GWA,Kingbright,754-1704-5-ND,Digikey,6
,,,,,
,,,,,
,,,,,
